  Title : TRcurve_10mm_SDS_750nm_30secInt_20mlIL_1
  Version : 2 972 M
  Revision : 12 bits ADC
  Date : 2019-03-31
  Time : 11:59:37
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1 Decay  ( Time[ns]  No_of_photons )
2.669027 42
2.675135 47
2.681243 47
2.687350 37
2.693458 46
2.699565 39
2.705673 36
2.711781 44
2.717888 51
2.723996 43
2.730103 36
2.736211 35
2.742319 47
2.748426 50
2.754534 42
2.760642 41
2.766749 37
2.772857 49
2.778964 44
2.785072 44
2.791180 37
2.797287 34
2.803395 41
2.809502 35
2.815610 39
2.821718 42
2.827825 39
2.833933 48
2.840041 40
2.846148 33
2.852256 51
2.858363 51
2.864471 48
2.870579 52
2.876686 45
2.882794 35
2.888901 35
2.895009 37
2.901117 33
2.907224 38
2.913332 42
2.919439 43
2.925547 48
2.931655 40
2.937762 41
2.943870 33
2.949978 53
2.956085 37
2.962193 47
2.968300 41
2.974408 50
2.980516 39
2.986623 36
2.992731 43
2.998838 46
3.004946 41
3.011054 39
3.017161 40
3.023269 55
3.029377 36
3.035484 31
3.041592 55
3.047699 40
3.053807 45
3.059915 32
3.066022 33
3.072130 44
3.078237 36
3.084345 46
3.090453 47
3.096560 41
3.102668 36
3.108776 29
3.114883 54
3.120991 52
3.127098 34
3.133206 42
3.139314 50
3.145421 34
3.151529 38
3.157636 39
3.163744 40
3.169852 41
3.175959 51
3.182067 43
3.188174 49
3.194282 47
3.200390 42
3.206497 50
3.212605 43
3.218713 52
3.224820 56
3.230928 40
3.237035 45
3.243143 56
3.249251 46
3.255358 40
3.261466 45
3.267573 49
3.273681 35
3.279789 34
3.285896 42
3.292004 48
3.298112 47
3.304219 35
3.310327 46
3.316434 51
3.322542 37
3.328650 58
3.334757 47
3.340865 37
3.346972 42
3.353080 38
3.359188 46
3.365295 42
3.371403 43
3.377511 38
3.383618 41
3.389726 41
3.395833 38
3.401941 43
3.408049 53
3.414156 46
3.420264 46
3.426371 41
3.432479 51
3.438587 61
3.444694 40
3.450802 31
3.456910 48
3.463017 51
3.469125 37
3.475232 37
3.481340 50
3.487448 32
3.493555 34
3.499663 44
3.505770 37
3.511878 45
3.517986 49
3.524093 54
3.530201 46
3.536308 41
3.542416 45
3.548524 49
3.554631 46
3.560739 42
3.566847 49
3.572954 36
3.579062 41
3.585169 47
3.591277 51
3.597385 42
3.603492 49
3.609600 52
3.615707 36
3.621815 37
3.627923 48
3.634030 43
3.640138 45
3.646246 48
3.652353 37
3.658461 35
3.664568 45
3.670676 43
3.676784 48
3.682891 34
3.688999 34
3.695106 47
3.701214 45
3.707322 37
3.713429 44
3.719537 50
3.725645 50
3.731752 32
3.737860 44
3.743967 50
3.750075 46
3.756183 55
3.762290 46
3.768398 63
3.774505 62
3.780613 74
3.786721 62
3.792828 56
3.798936 57
3.805044 60
3.811151 42
3.817259 50
3.823366 51
3.829474 45
3.835582 63
3.841689 55
3.847797 57
3.853904 69
3.860012 58
3.866120 66
3.872227 65
3.878335 67
3.884442 85
3.890550 54
3.896658 74
3.902765 66
3.908873 85
3.914981 63
3.921088 76
3.927196 81
3.933303 70
3.939411 67
3.945519 66
3.951626 51
3.957734 70
3.963841 66
3.969949 72
3.976057 75
3.982164 60
3.988272 64
3.994380 76
4.000487 86
4.006595 72
4.012702 67
4.018810 78
4.024918 61
4.031025 77
4.037133 69
4.043240 65
4.049348 74
4.055456 63
4.061563 65
4.067671 85
4.073779 70
4.079886 67
4.085994 72
4.092101 61
4.098209 55
4.104317 65
4.110424 47
4.116532 78
4.122639 53
4.128747 60
4.134855 53
4.140962 71
4.147070 51
4.153178 53
4.159285 59
4.165393 66
4.171500 78
4.177608 67
4.183716 41
4.189823 73
4.195931 68
4.202038 62
4.208146 49
4.214254 63
4.220361 55
4.226469 58
4.232576 77
4.238684 62
4.244792 57
4.250899 58
4.257007 58
