  Title : TRcurve_10mm_SDS_750nm_10secInt_1
  Version : 2 972 M
  Revision : 12 bits ADC
  Date : 2019-10-11
  Time : 09:24:17
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1 Decay  ( Time[ns]  No_of_photons )
2.675135 10
2.681243 16
2.687350 8
2.693458 8
2.699565 7
2.705673 12
2.711781 11
2.717888 15
2.723996 11
2.730103 9
2.736211 9
2.742319 9
2.748426 13
2.754534 10
2.760642 7
2.766749 15
2.772857 17
2.778964 10
2.785072 13
2.791180 13
2.797287 13
2.803395 11
2.809502 8
2.815610 6
2.821718 9
2.827825 13
2.833933 14
2.840041 15
2.846148 6
2.852256 8
2.858363 17
2.864471 9
2.870579 9
2.876686 16
2.882794 14
2.888901 14
2.895009 10
2.901117 7
2.907224 10
2.913332 14
2.919439 13
2.925547 12
2.931655 8
2.937762 12
2.943870 9
2.949978 11
2.956085 9
2.962193 9
2.968300 17
2.974408 9
2.980516 10
2.986623 8
2.992731 10
2.998838 8
3.004946 5
3.011054 9
3.017161 10
3.023269 11
3.029377 9
3.035484 9
3.041592 7
3.047699 7
3.053807 10
3.059915 4
3.066022 15
3.072130 11
3.078237 10
3.084345 4
3.090453 16
3.096560 10
3.102668 14
3.108776 10
3.114883 7
3.120991 12
3.127098 12
3.133206 11
3.139314 11
3.145421 8
3.151529 12
3.157636 12
3.163744 12
3.169852 5
3.175959 9
3.182067 11
3.188174 6
3.194282 11
3.200390 11
3.206497 12
3.212605 9
3.218713 9
3.224820 10
3.230928 12
3.237035 13
3.243143 11
3.249251 18
3.255358 9
3.261466 9
3.267573 11
3.273681 14
3.279789 7
3.285896 7
3.292004 12
3.298112 14
3.304219 12
3.310327 7
3.316434 7
3.322542 13
3.328650 6
3.334757 15
3.340865 13
3.346972 11
3.353080 14
3.359188 13
3.365295 8
3.371403 13
3.377511 8
3.383618 18
3.389726 11
3.395833 9
3.401941 8
3.408049 20
3.414156 10
3.420264 14
3.426371 14
3.432479 16
3.438587 9
3.444694 9
3.450802 10
3.456910 9
3.463017 16
3.469125 9
3.475232 6
3.481340 11
3.487448 11
3.493555 8
3.499663 12
3.505770 9
3.511878 15
3.517986 9
3.524093 9
3.530201 10
3.536308 12
3.542416 4
3.548524 18
3.554631 7
3.560739 11
3.566847 11
3.572954 10
3.579062 14
3.585169 15
3.591277 10
3.597385 11
3.603492 8
3.609600 13
3.615707 9
3.621815 6
3.627923 12
3.634030 11
3.640138 11
3.646246 13
3.652353 10
3.658461 7
3.664568 7
3.670676 13
3.676784 15
3.682891 10
3.688999 11
3.695106 7
3.701214 12
3.707322 10
3.713429 12
3.719537 9
3.725645 10
3.731752 8
3.737860 7
3.743967 10
3.750075 10
3.756183 17
3.762290 11
3.768398 10
3.774505 12
3.780613 8
3.786721 8
3.792828 10
3.798936 9
3.805044 9
3.811151 13
3.817259 11
3.823366 10
3.829474 11
3.835582 11
3.841689 13
3.847797 12
3.853904 13
3.860012 8
3.866120 13
3.872227 6
3.878335 10
3.884442 13
3.890550 10
3.896658 10
3.902765 10
3.908873 11
3.914981 9
3.921088 8
3.927196 12
3.933303 12
3.939411 6
3.945519 13
3.951626 11
3.957734 11
3.963841 13
3.969949 15
3.976057 12
3.982164 14
3.988272 21
3.994380 33
4.000487 36
4.006595 34
4.012702 57
4.018810 76
4.024918 85
4.031025 99
4.037133 95
4.043240 123
4.049348 128
4.055456 142
4.061563 130
4.067671 156
4.073779 162
4.079886 147
4.085994 164
4.092101 153
4.098209 187
4.104317 170
4.110424 157
4.116532 153
4.122639 178
4.128747 166
4.134855 163
4.140962 146
4.147070 146
4.153178 148
4.159285 120
4.165393 142
4.171500 152
4.177608 124
4.183716 150
4.189823 148
4.195931 128
4.202038 143
4.208146 112
4.214254 112
4.220361 137
4.226469 124
4.232576 123
4.238684 126
4.244792 112
4.250899 112
4.257007 108
4.263115 106
4.269222 106
4.275330 87
4.281437 106
4.287545 99
4.293653 89
4.299760 83
4.305868 66
4.311975 92
4.318083 102
4.324191 74
4.330298 58
4.336406 65
4.342514 56
4.348621 66
4.354729 61
4.360836 62
4.366944 59
4.373052 64
4.379159 62
4.385267 65
4.391374 74
4.397482 55
4.403590 47
4.409697 58
4.415805 67
4.421913 57
4.428020 47
4.434128 56
4.440235 53
4.446343 42
4.452451 50
4.458558 49
4.464666 59
4.470773 53
4.476881 49
